id_base out_group_openness bundesland frau alter migrant schulabschl wohnort religiousness reli_group relig_comm hierarchie hh_income_i hh_size hat_kinder employment Care Fairness Authority Loyalty Purity Liberty authorit zeitungen internet fernsehen radiosender social_media f_online_rel_behavior f_online_intensity control soc_trust Greece Italie Poland Romania former_SU former_Yugo Spain_Portugal Syria Turkey Vietnam other NA NET_Europe deutsch s_east_europa other_mig
52 -3.0064194 5 0 6 0 4 2 5 2 2 7 17.5 1 0 5 5 6 4.5 3.5 6 4 3 6 6 6 6 5 2.9103775 3.7230735 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
53 -.2146468 9 0 3 1 3 4 2 1 3 5 37.5 2 0 1 3.5 2.5 2 4 4.5 4.5 1 6 5 6 6 4 3.5316739 3.3643866 4 3 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0
54 -.066802323 5 0 3 0 3 4 2 8 5 7 21.90576 2 0 7 4 3.5 4 3.5 3.5 3 1 6 6 6 6 1 3.8132248 3.0899091 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
55 .45984831 2 0 1 0 4 4 5 1 3 7 22.5 1 0 1 4.5 4.5 4 4 5 4 2 5 5 5 5 5 3.5286279 3.2106245 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
56 -.67406195 5 1 4 0 2 2 1 7 1 6 17.714333 1 0 2 5 5 4 2.5 5 3.5 2 4 6 6 6 1 1.2380934 4.0880475 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
57 .7119174 6 0 2 0 4 2 5 2 2 6 37.5 5 1 1 3.5 4.5 4 3.5 3.5 4.5 2 4 5 5 4 5 3.4412284 3.6871991 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
58 .83480668 4 0 4 0 3 4 2 7 1 6 17.5 1 0 1 5.5 6 3 5 5 4 2 6 5 6 6 5 3.5621443 3.6262205 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
59 -.70036596 3 0 2 0 1 3 1 2 2 2 12.5 2 0 5 6 4.5 4.5 5 5 4.5 6 2 6 6 2 6 4.6427054 2.690731 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
60 -.45995766 12 1 3 0 2 2 1 7 1 5 45 3 1 1 3 3.5 4 3.5 3 3.5 3 3 4 4 6 4 3.6191416 2.8050897 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
61 1.082361 9 0 4 0 2 2 1 7 1 5 37.5 2 0 1 4 4 5 3 5 3.5 6 5 6 6 5 2 1.6292372 4.8941708 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
62 .50006676 9 0 5 0 2 2 1 7 1 4 17.5 2 0 5 4 6 5.5 5 4 5 5 3 6 6 6 6 2.1884217 3.7106128 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
